city,team1,team2,toss_winner,toss_decision,winner,first_innings_score,second_innings_score
8,8,3,8,2,3.0,0.9385585061727101,0.3451201681890683
6,6,0,0,1,0.0,0.7585896376718033,0.6515686929380219
1,1,7,7,1,1.0,0.7016885755159995,0.7124837843700919
5,5,8,5,1,8.0,0.7028600079314319,0.7113282007980757
3,3,9,9,1,3.0,0.700765396045594,0.713391799577947
7,7,6,6,1,7.0,0.7028853604521851,0.7113031492001155
9,9,1,9,1,1.0,0.702179386223622,0.7120000769400363
0,0,5,5,2,0.0,0.7190456808357886,0.6949628111427238
9,9,7,7,2,7.0,0.7038255960088933,0.7103728108554875
6,6,5,5,2,6.0,0.8446103869355733,0.535381447456429
8,8,7,7,2,7.0,0.7019267189718641,0.7122491707214503
0,0,3,3,1,0.0,0.7023452803945737,0.7118364328323381
5,5,9,9,2,9.0,0.7025596109834729,0.7116248962864855
6,6,1,1,1,6.0,0.7026736398436252,0.7115123019800229
8,8,0,0,1,0.0,0.7352757158335022,0.6777681179470829
3,3,5,3,1,5.0,0.7020015154756069,0.7121754504824996
1,1,8,8,2,1.0,0.7276434504778692,0.6859555444609079
9,9,6,6,2,6.0,0.7028343490605733,0.7113535532916105
7,7,3,7,1,7.0,0.7936712008155883,0.6083469610312376
0,0,1,0,1,1.0,0.7029596338114635,0.711229747150422
6,6,3,6,1,6.0,0.7271257963371178,0.6865042434691224
8,8,9,9,2,8.0,0.716171123310796,0.6979247252646611
5,5,1,1,2,5.0,0.774803746731232,0.6322018301549316
7,7,0,0,1,7.0,0.700708014884254,0.7134481606094223
8,8,6,6,2,6.0,0.7015610998395336,0.7126093061362192
0,0,9,9,2,9.0,0.7022471119478896,0.7119332790092399
5,5,7,5,2,5.0,0.7003406701280767,0.713808759938232
1,1,0,0,2,0.0,0.7033556304069442,0.7108381371134009
3,3,8,3,1,3.0,0.7236082320332963,0.6902109290163748
7,7,9,7,2,7.0,0.7021097462009691,0.7120687496931815
0,0,6,6,2,0.0,0.744920086565872,0.6671537039024019
9,9,3,3,1,3.0,0.7496243900282398,0.6618634858298117
7,7,1,7,2,7.0,0.7026173493413279,0.7115678888233831
6,6,8,8,1,6.0,0.7022134834058589,0.7119664484531625
3,3,1,3,1,3.0,0.7729282973093136,0.6344933783882424
5,5,0,5,2,5.0,0.7026173493413279,0.7115678888233831
1,1,9,9,2,1.0,0.731055268242869,0.6823182503600111
5,5,3,5,2,5.0,0.696785684263249,0.7172793808592269
1,1,6,1,1,6.0,0.7354367343064205,0.6775933956531065
7,7,8,8,2,7.0,0.8320502943378437,0.5547001962252291
9,9,5,9,2,5.0,0.7601551737556986,0.6497415730984463
3,3,0,3,1,0.0,0.7342720682754589,0.6788553084056129
8,8,1,1,2,1.0,0.7025596109834729,0.7116248962864855
3,3,7,7,2,7.0,0.7023452803945737,0.7118364328323381
5,5,6,5,2,6.0,0.7108381371134009,0.7033556304069442
0,0,8,8,1,8.0,0.7500101721022834,0.6614262935075255
6,6,9,6,2,6.0,0.7031006064676614,0.711090386086612
1,1,5,1,2,1.0,0.7031231753960862,0.7110680700333301
0,0,7,7,1,7.0,0.7256827831682829,0.688029431211438
9,9,8,9,1,8.0,0.7028600079314319,0.7113282007980757
3,3,6,6,1,3.0,0.7030777803619778,0.7111129549946862
7,7,5,7,2,7.0,0.702280281445106,0.7119005592731212
9,9,0,9,1,0.0,0.7023452803945737,0.7118364328323381
8,8,5,5,2,5.0,0.7013814998445,0.712786077077744
6,6,7,7,2,6.0,0.7767557487195038,0.6298019584212193
5,1,7,1,2,7.0,0.911656164315767,0.4109538150024442
5,0,6,6,1,0.0,0.7008771255327298,0.7132820304094154
5,0,7,7,2,7.0,0.7028083782532835,0.7113792121344211
-1,0,5,0,2,5.0,0.7508929588948038,0.6604239277026587
-1,8,7,8,1,8.0,0.9177221168073145,0.3972230057822705
-1,1,6,1,2,1.0,0.6941355705842321,0.7198442954206852
-1,9,3,3,1,9.0,0.7002086668924692,0.7139382485962431
-1,8,0,0,1,0.0,0.9003489528419438,0.43516866054027287
-1,6,3,3,2,3.0,0.7709617516270896,0.6368814469962913
-1,8,9,9,1,9.0,0.7563631724521442,0.6541519329315842
-1,0,1,1,1,1.0,0.7259526839058266,0.687744647910783
-1,3,7,3,2,7.0,0.7024395613665727,0.711743396616461
-1,8,6,8,1,6.0,0.7029351681296114,0.7112539275157607
-1,9,5,9,1,9.0,0.7348034446274879,0.6782801027330658
-1,8,1,8,1,1.0,0.7024085519692114,0.7117739993288008
-1,6,7,6,1,6.0,0.7808688094430304,0.6246950475544243
-1,0,9,9,2,9.0,0.7028600079314319,0.7113282007980757
-1,3,5,5,1,5.0,0.8925201483918708,0.45100752179376447
-1,1,7,1,1,7.0,0.7022134834058589,0.7119664484531625
-1,8,3,3,1,8.0,0.7020741827848284,0.7121038139674688
-1,6,5,6,1,6.0,0.7189883760491119,0.6950220968474748
-1,9,1,1,2,1.0,0.7023771277714427,0.7118050086811265
-1,0,7,7,2,0.0,0.7947678139267301,0.6069136033622302
-1,3,5,5,1,5.0,0.7312184423172438,0.6821433790744756
-1,8,6,8,1,8.0,0.7292256089673864,0.6842733454009037
-1,9,7,9,1,7.0,0.7021448105364912,0.7120341740651742
-1,0,1,1,2,0.0,0.749170921036008,0.6623767289647632
-1,6,3,3,1,6.0,0.7025301812897969,0.7116539498779761
-1,8,5,5,1,8.0,0.7024085519692114,0.7117739993288008
-1,0,9,0,1,0.0,0.873004559860684,0.4877120446149073
-1,6,7,6,2,7.0,0.8470991654772115,0.5314348538135336
-1,1,3,3,1,1.0,0.7025596109834729,0.7116248962864855
-1,9,5,9,1,9.0,0.7570561454168382,0.6533498241268603
-1,8,7,7,2,7.0,0.7004677164823951,0.7136840884914969
-1,0,6,0,1,0.0,0.7320959238512887,0.6812015548134986
-1,1,5,5,1,1.0,0.7010891757230163,0.7130736060772559
-1,9,6,6,2,6.0,0.7029351681296114,0.7112539275157607
-1,0,7,7,1,0.0,0.7021097462009691,0.7120687496931815
-1,8,5,5,1,5.0,0.746105210225183,0.6658280673528532
-1,1,3,1,2,1.0,0.7014274816167628,0.7127408280944525
-1,9,7,9,1,9.0,0.8282157123427925,0.5604094341002128
-1,8,3,8,2,8.0,0.703054692658077,0.7111357810794342
-1,6,5,6,1,5.0,0.7012389761168877,0.7129262923855025
-1,9,1,9,2,1.0,0.7339942915171168,0.6791556375531943
-1,8,0,0,1,8.0,0.7016885755159995,0.7124837843700919
-1,5,7,7,1,7.0,0.7144084996482668,0.6997288729431654
-1,1,6,6,2,6.0,0.7012872659320248,0.7128787909887525
-1,0,5,5,1,0.0,0.7023452803945737,0.7118364328323381
-1,9,3,9,2,9.0,0.7027285362744408,0.7114580833089058
-1,9,6,9,2,6.0,0.7123638613662797,0.7018103226793718
-1,1,7,1,1,1.0,0.7430494130276538,0.6692365574288803
-1,0,3,0,1,3.0,0.7033754245742967,0.710818550760268
-1,8,1,1,1,8.0,0.701888492813689,0.7122868408553733
-1,3,7,3,2,3.0,0.7002086668924692,0.7139382485962431
-1,0,6,0,1,0.0,0.7860851426451102,0.6181182318235054
-1,1,5,1,2,1.0,0.7028600079314319,0.7113282007980757
-1,8,9,8,1,8.0,0.7344740159232419,0.6786368100343404
-1,1,9,9,2,9.0,0.7025301812897969,0.7116539498779761
-1,8,0,8,2,8.0,0.7023130012327302,0.7118682801610667
-1,8,9,8,2,9.0,0.7244967790388136,0.6892781856133157
5,9,3,9,2,3.0,0.7337606740181695,0.679408031498305
5,5,7,5,1,5.0,0.7154542680061106,0.6986595668792066
6,6,1,1,2,1.0,0.702179386223622,0.7120000769400363
3,3,8,3,2,3.0,0.7019267189718641,0.7122491707214503
0,0,9,9,1,9.0,0.7685509995466667,0.6397885284184294
2,7,1,1,2,1.0,0.7021448105364912,0.7120341740651742
8,8,6,6,1,8.0,0.7036491080728211,0.7105476287402017
3,3,0,0,1,0.0,0.8343768505214746,0.5511944042838832
1,1,5,1,2,5.0,0.8769757398360187,0.4805346519649418
8,8,7,8,2,8.0,0.6995447848162134,0.7145887586832287
1,1,0,1,1,0.0,0.7033154053030363,0.7108779365428538
-1,9,6,6,2,9.0,0.7217246032297732,0.6921803212262152
2,7,3,7,1,7.0,0.7835755126900903,0.6212965603578231
5,5,8,5,1,8.0,0.7024701641224861,0.711713192597782
-1,9,1,9,1,9.0,0.7300664540265073,0.6833761575480679
0,0,6,0,2,6.0,0.7019643891790419,0.7122120444955242
